Only samples that are Within_ET_space = TRUE were used for analysis.,,

sample_name,ET,Within_ET_space
DC001,ET_B,FALSE
DC003,ET_B,TRUE
DC004,ET_F,TRUE
DC005,ET_P,FALSE
DC006,ET_B,TRUE
DC007,ET_F,FALSE
DC009,ET_B,FALSE
DC010,ET_B,FALSE
DC011,ET_B,TRUE
DC013,ET_B,TRUE
DC015,ET_B,TRUE
DC016,ET_B,FALSE
DC017,ET_B,FALSE
DC018,ET_B,TRUE
DC019,ET_B,TRUE
DC020,ET_P,TRUE
DC021,ET_B,TRUE
DC022,ET_B,TRUE
DC023,ET_B,FALSE
DC024,ET_B,FALSE
DC026,ET_B,TRUE
DC027,ET_B,FALSE
DC029,ET_P,TRUE
DC032,ET_B,TRUE
DC033,ET_F,FALSE
DC034,ET_B,FALSE
DC035,ET_B,FALSE
DC036,ET_B,FALSE
DC037,ET_B,TRUE
DC038,ET_B,FALSE
DC039,ET_B,TRUE
DC041,ET_P,TRUE
DC042,ET_F,TRUE
DC044,ET_B,TRUE
DC048,ET_B,TRUE
DC049,ET_F,TRUE
DC050,ET_B,FALSE
DC052,ET_B,TRUE
DC054,ET_B,TRUE
DC056,ET_B,TRUE
DC057,ET_P,TRUE
DC058,ET_F,TRUE
DC060,ET_F,TRUE
DC061,ET_B,TRUE
DC063,ET_B,TRUE
DC064,ET_B,TRUE
DC065,ET_F,TRUE
DC066,ET_B,TRUE
DC067,ET_F,FALSE
DC068,ET_B,TRUE
DC069,ET_B,FALSE
DC070,ET_F,FALSE
DC071,ET_B,FALSE
DC072,ET_B,TRUE
DC073,ET_P,TRUE
DC075,ET_F,FALSE
DC076,ET_F,TRUE
DC077,ET_B,TRUE
DC078,ET_B,TRUE
DC079,ET_P,TRUE
DC081,ET_B,TRUE
DC082,ET_B,TRUE
DC083,ET_B,TRUE
DC085,ET_F,TRUE
DC087,ET_P,FALSE
DC090,ET_B,TRUE
DC092,ET_B,FALSE
DC094,ET_B,FALSE
DC095,ET_F,TRUE
DC096,ET_F,TRUE
DC097,ET_F,FALSE
DC098,ET_F,TRUE
DC099,ET_B,TRUE
