feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An131,0.00395389928303476,-0.00786938422324839,9.41372245444538,1.96217973585527e-19,4.51301339246712e-17,32.022352442582,<1e-16,<1e-16
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,0.0159439050041554,-0.00754540757503795,7.7244418641005,6.54623847656103e-14,7.52817424804519e-12,19.4489732117933,7.53e-12,6.55e-14
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans,0.183777692400903,0.0159271006703536,6.83952912318217,2.41292974477368e-11,1.84991280432649e-09,13.6343262497391,1.85e-09,2.41e-11
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_sp_DISK_18,0.0107619449503896,-0.00732228921248531,5.63686841173566,2.94930145560493e-08,1.69584833697284e-06,6.68346751057729,1.70e-06,2.95e-08
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis,0.00918673888040856,-0.00753166678537781,3.93507445415031,9.53862791712614e-05,0.00438776884187802,-1.09585291582526,4.39e-03,9.54e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251,0.0157777070528947,-0.00646293790725652,3.68319722477805,0.00025636402124412,0.0098272874810246,-2.02894553463072,9.83e-03,2.56e-04
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,0.0177317080097073,-0.00432376498252555,3.01172367597808,0.00273395399620041,0.0898299170180135,-4.22917080201752,8.98e-02,2.73e-03
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0.0667429415678764,0.0123966653394488,2.93769780111607,0.00346474598266097,0.0996114470015029,-4.44580329213189,9.96e-02,3.46e-03
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,0.0197370649552086,-0.00227153148031475,2.86795997804239,0.00431211956434821,0.110198611088899,-4.64512691608336,1.10e-01,4.31e-03
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens,0.00957009493816259,-0.00630002119056553,2.2317050300595,0.0260927191888041,0.600132541342495,-6.24848421846739,6.00e-01,2.61e-02
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_lavalense,0.00324957064664526,-0.00710022987901303,1.9283239385159,0.0544009780508295,0.973398620625947,-6.87502032954879,9.73e-01,5.44e-02
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis,0.00993121402257921,-0.00491872565013671,1.89719983519049,0.0583980940029667,0.973398620625947,-6.93421261299276,9.73e-01,5.84e-02
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,0.0243098465512549,0.00920360656008071,1.70832626316805,0.0882186799449213,0.973398620625947,-7.27303700994751,9.73e-01,8.82e-02
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,0.00858041611366633,-0.0044785707091282,1.67175818571083,0.0952200568365137,0.973398620625947,-7.33458646302924,9.73e-01,9.52e-02
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,0.0025143796525506,-0.00668423681734101,1.66962262935059,0.0956423530209173,0.973398620625947,-7.33814023872975,9.73e-01,9.56e-02
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae,0.0200958622972604,0.0108557889642045,1.53968719535971,0.124291845950277,0.973398620625947,-7.54590986684305,9.73e-01,1.24e-01
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens,0.00307012178737669,-0.00709484009037777,1.45474693622608,0.146389257996572,0.973398620625947,-7.67272518651462,9.73e-01,1.46e-01
