feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans,0.695531483007346,5.62673002544859,4.02722715033929,6.54176155414225e-05,0.0150460515745272,1.49474911106336,0.015,6.54e-05
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,-0.735884739358353,-1.65572910169338,-3.29202376590924,0.00106669633985895,0.0605602650889075,-0.994474957605311,0.0606,0.00107
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,-1.03389918815611,5.7102108453223,-3.22314220580197,0.00135263974178476,0.0605602650889075,-1.20334249993348,0.0606,0.00135
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum,0.935362806815948,2.18044501744066,3.19824020127832,0.00147240516456215,0.0605602650889075,-1.27781288021456,0.0606,0.00147
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi,0.963004501682183,0.681866814130734,3.19011209269411,0.00151357124220157,0.0605602650889075,-1.3020006573145,0.0606,0.00151
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Collinsella_massiliensis,0.588983099478479,-0.664835947572083,3.12261613589973,0.00189880508675146,0.0605602650889075,-1.50057867073099,0.0606,0.0019
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,0.788939982716202,0.22066655143079,3.10605978550722,0.00200619191754769,0.0605602650889075,-1.54866690694403,0.0606,0.00201
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris,-0.742640729946516,-0.811594406130797,-3.09132398746191,0.00210644400309243,0.0605602650889075,-1.59126102057434,0.0606,0.00211
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_callanderi,0.656296309706253,-1.6619764367421,3.0311626904163,0.00256540280266976,0.0655602938460049,-1.76314013958896,0.0656,0.00257
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum,0.917123050512562,1.51637073087826,2.96022356992853,0.00322353807651961,0.074141375759951,-1.96163752266713,0.0741,0.00322
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,-0.423068053109267,-2.19557979879023,-2.86700306586977,0.00432271497909831,0.0903840404720557,-2.21559390959126,0.0904,0.00432
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris,0.780191646911812,1.35051813346904,2.75956338689947,0.00600516841713007,0.115099061328326,-2.49855121440883,0.115,0.00601
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica,-0.502627094733028,-2.00274508724331,-2.70545406158374,0.00705941101331852,0.124897271774097,-2.6370959771413,0.125,0.00706
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,1.00627865428708,1.86228536947914,2.56434745239,0.0106347185701878,0.166609698455927,-2.98587168141831,0.167,0.0106
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,-1.0084976823835,1.61679341660781,-2.55374575548582,0.010959522249328,0.166609698455927,-3.01134323603482,0.167,0.011
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139,-0.8313822461993,0.231443944395924,-2.5339350384264,0.0115902398925862,0.166609698455927,-3.05866526432751,0.167,0.0116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D5,0.706225419975853,-0.511749881031013,2.50763992697364,0.0124772185419893,0.168809427332796,-3.12092281907128,0.169,0.0125
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis,0.805597085239132,0.470430872717703,2.48598369263862,0.0132524697573947,0.16933711356671,-3.17172244170151,0.169,0.0133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,-0.781037630789872,-0.352991163685822,-2.46215527488028,0.0141545690189369,0.171344782860815,-3.22712158191339,0.171,0.0142
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis,0.722833020175289,-0.254282530420744,2.43001412594838,0.0154572976550232,0.177758923032767,-3.30102349301948,0.178,0.0155
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,-0.779173836683459,-0.680104590618539,-2.36894090939196,0.0182269467574288,0.192318443033204,-3.43883895963445,0.192,0.0182
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167,-0.463363570662404,-1.97179616144227,-2.36225101898305,0.0185553498411957,0.192318443033204,-3.45372707985539,0.192,0.0186
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,-0.958609423939059,2.25465255666717,-2.34879141925204,0.0192318443033204,0.192318443033204,-3.48355639798853,0.192,0.0192
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,-0.907950368764358,3.9281964192445,-2.28381214484576,0.0228107398861974,0.197756478083761,-3.62522133815189,0.198,0.0228
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,0.662193680078943,0.915568527914042,2.27844763411248,0.0231306192270286,0.197756478083761,-3.6367432034188,0.198,0.0231
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta,0.66955508436662,3.70614185837734,2.27202935580407,0.0235184614087897,0.197756478083761,-3.65049352707498,0.198,0.0235
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,-0.709958250683219,4.36702551830553,-2.26276488124141,0.0240882717450071,0.197756478083761,-3.67027454897318,0.198,0.0241
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,-0.482078774184501,-1.31818035371128,-2.23713610459135,0.0257275416126716,0.197756478083761,-3.72458380494337,0.198,0.0257
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,-0.831267421819288,2.02469429140675,-2.23076761416489,0.0261495923316226,0.197756478083761,-3.73798519175771,0.198,0.0261
