feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
PWY-7235: superpathway of ubiquinol-6 biosynthesis (late decarboxylation),7.5219381980723,-5.01324447555642,9.23413823219228,8.09292009108007e-19,4.12738924645084e-16,28.4119017154499,4.13e-16,<1e-16
PWY-7316: dTDP-N-acetylviosamine biosynthesis,-4.29327141097742,-1.08613493253385,-6.36363905109524,4.56321792850775e-10,1.16362057176948e-07,12.5351081486037,1.16e-07,4.56e-10
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",4.48318899937547,0.838542588361516,6.08969900025817,2.30185859094906e-09,3.91315960461341e-07,10.9227065050444,3.91e-07,2.30e-09
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),4.34204577160547,0.389109581435712,5.85215082084427,8.93646791223034e-09,1.13939965880937e-06,9.64360681023826,1.14e-06,8.94e-09
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,4.40012347028805,0.37362349886804,5.41475340329111,9.66870062606228e-08,9.86207463858353e-06,7.43271113426068,9.86e-06,9.67e-08
PWY-7411: phosphatidate biosynthesis (yeast),4.92664724947098,-5.04001990791209,4.92941637165549,1.13384989590514e-06,9.63772411519372e-05,3.96850284003626,9.64e-05,1.13e-06
PWY-7254: TCA cycle VII (acetate-producers),4.20050790098412,0.360197553089624,4.62742109411895,4.75685071736446e-06,0.000323330926257528,3.81752746180877,3.23e-04,4.76e-06
PWY-5871: ubiquinol-9 biosynthesis (late decarboxylation),4.71608244197187,-5.03320488489926,4.58792647365689,5.70583987513284e-06,0.000323330926257528,2.70919347121287,3.23e-04,5.71e-06
PWY-5873: ubiquinol-7 biosynthesis (late decarboxylation),4.71608244197187,-5.03320488489926,4.58792647365689,5.70583987513284e-06,0.000323330926257528,2.70919347121287,3.23e-04,5.71e-06
PWY-5870: ubiquinol-8 biosynthesis (late decarboxylation),4.66670754570691,-5.03306980516922,4.52077376598944,7.75064055573219e-06,0.000395282668342342,2.47312744578475,3.95e-04,7.75e-06
GLYOXYLATE-BYPASS: glyoxylate cycle,3.76256580641949,0.711417551768193,4.27454541488326,2.30640891184493e-05,0.00106933504094629,2.36622252608523,1.07e-03,2.31e-05
NADSYN-PWY: NAD de novo biosynthesis II (from tryptophan),4.36849574186081,-5.04291875120335,4.23501272755675,2.73460525563055e-05,0.00116220723364298,1.49782674289209,1.16e-03,2.73e-05
PWY-5129: sphingolipid biosynthesis (plants),4.22481676338264,-5.04363967244026,4.07367688738024,5.40413921360371e-05,0.00212008538379838,0.984581950858484,2.12e-03,5.40e-05
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,0.672525346149936,6.71221852358515,3.94232357876028,9.25634598071087e-05,0.00337195460725896,0.419456141204065,3.37e-03,9.26e-05
PWY-5872: ubiquinol-10 biosynthesis (late decarboxylation),4.0459475630097,-5.04449418705904,3.88552882441143,0.000116278791743616,0.00395347891928294,0.415697819590968,3.95e-03,1.16e-04
PWY-7511: protein ubiquitination,4.4027095436927,-5.03295237743411,3.82069896693287,0.000150349674942335,0.00479239588878694,0.250801354813157,4.79e-03,1.50e-04
REDCITCYC: TCA cycle VI (Helicobacter),3.76111818842154,0.236325238563083,3.77416690622112,0.000180399593908234,0.005411987817247,0.564756421313637,5.41e-03,1.80e-04
PWY-4981: L-proline biosynthesis II (from arginine),1.18456848867611,6.72423115004634,3.68261839323758,0.00025677560904748,0.00727530892301192,-0.735405557982513,7.28e-03,2.57e-04
PWY-5651: L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,3.81220613460627,-5.04564118245444,3.65686947328147,0.000283210206703526,0.00760195817993674,-0.23464491484235,7.60e-03,2.83e-04
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,1.03154477409514,6.19111433489446,3.54968150020478,0.00042323134781353,0.01022638892399,-0.978875717647381,1.02e-02,4.23e-04
PWY66-389: phytol degradation,3.96392798320167,-0.0751713586805362,3.52027439142372,0.00047172305462418,0.01022638892399,-0.230418960069843,1.02e-02,4.72e-04
PWY-7288: fatty acid &beta;-oxidation VII (yeast peroxisome),3.24053953270856,-5.05323499265973,3.50756599318196,0.000494247717321033,0.01022638892399,-0.472801752341393,1.02e-02,4.94e-04
PWY-7337: 10-cis-heptadecenoyl-CoA degradation (yeast),3.27110881739371,-5.05295860993067,3.50021653018872,0.000507729200733641,0.01022638892399,-0.504755668927969,1.02e-02,5.08e-04
"PWY-7338: 10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)",3.27110881739371,-5.05295860993067,3.50021653018872,0.000507729200733641,0.01022638892399,-0.504755668927969,1.02e-02,5.08e-04
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome),3.29768125505282,-5.05271461934966,3.49336191714527,0.000520612168215621,0.01022638892399,-0.533993127458579,1.02e-02,5.21e-04
"PWY-6837: fatty acid &beta;-oxidation V (unsaturated, odd number, di-isomerase-dependent)",3.30416636593372,-5.05265453000702,3.49162300012377,0.000523928649713038,0.01022638892399,-0.54133374278344,1.02e-02,5.24e-04
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome),3.35503484464159,-5.05212694480425,3.46898549525253,0.000568944580045377,0.01022638892399,-0.626265205535555,1.02e-02,5.69e-04
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation),5.11709865650623,-2.09818482808791,3.44939269510834,0.000610797019555944,0.01022638892399,-0.446941711969816,1.02e-02,6.11e-04
PWY-7208: superpathway of pyrimidine nucleobases salvage,0.544425107131108,7.32506892595148,3.43707423843263,0.000638563864163931,0.01022638892399,-1.64523599991339,1.02e-02,6.39e-04
PWY-3502: superpathway of NAD biosynthesis in eukaryotes,3.56862669182845,-5.0469082887299,3.43285071128985,0.000648352106895608,0.01022638892399,-0.828906034745664,1.02e-02,6.48e-04
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation),5.12929665820917,-2.12747954686294,3.42718293776362,0.000661707518611115,0.01022638892399,-0.515360334089471,1.02e-02,6.62e-04
PWY-5856: ubiquinol-9 biosynthesis (early decarboxylation),5.12929665820917,-2.12747954686294,3.42718293776362,0.000661707518611115,0.01022638892399,-0.515360334089471,1.02e-02,6.62e-04
PWY-5857: ubiquinol-10 biosynthesis (early decarboxylation),5.12929665820917,-2.12747954686294,3.42718293776362,0.000661707518611115,0.01022638892399,-0.515360334089471,1.02e-02,6.62e-04
LYSINE-DEG1-PWY: L-lysine degradation XI (mammalian),2.677388411697,-5.05638796108536,3.41295148993828,0.000696381676560245,0.0104457251484037,-0.61975949912195,1.04e-02,6.96e-04
PWY-1622: formaldehyde assimilation I (serine pathway),2.63915625911231,-5.05660731705815,3.40435408123611,0.000718141898918727,0.0104643533842443,-0.638634137843349,1.05e-02,7.18e-04
PWY-5088: L-glutamate degradation VIII (to propanoate),6.39768938312439,-3.0008368912263,3.32529928993832,0.00095011343002386,0.0134599402586713,-0.821926520627486,1.35e-02,9.50e-04
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,3.37407552342379,-5.05008435321351,3.28780728084379,0.00108293383359967,0.014926925814482,-1.16255589133471,1.49e-02,1.08e-03
PWY-841: superpathway of purine nucleotides de novo biosynthesis I,0.407544970586004,8.10784436312412,3.2339058410321,0.00130427107926964,0.0175046908007242,-2.75444826387091,1.75e-02,1.30e-03
