feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
PANTO-PWY: phosphopantothenate biosynthesis I,0.387687911418696,8.42859150081218,13.8334905832233,6.28838638731599e-37,3.20707705753116e-34,73.1029252762514,<1e-16,<1e-16
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),0.318098551142546,8.76290283914946,13.2490794492943,2.02504370074456e-34,5.16386143689862e-32,67.2076820873671,<1e-16,<1e-16
PWY-5973: cis-vaccenate biosynthesis,0.455872242703995,8.24984438550754,12.887936946952,6.78328704207276e-33,1.15315879715237e-30,63.9212610958131,<1e-16,<1e-16
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,0.283681800946064,8.95752645548982,11.6926963814536,5.33533087128321e-28,6.8025468608861e-26,52.3880223423444,<1e-16,<1e-16
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),0.304877576614139,8.39916831978743,11.4445504246115,5.14805060081336e-27,4.40925060109225e-25,50.5263176042393,<1e-16,<1e-16
1CMET2-PWY: folate transformations III (E. coli),0.212562452242338,8.84554616903747,11.443712848179,5.18735364834382e-27,4.40925060109225e-25,50.2191660994954,<1e-16,<1e-16
PWY-6700: queuosine biosynthesis I (de novo),0.315630057119205,8.69642036307579,11.0451190943651,1.86712987096683e-25,1.36033747741869e-23,46.7751285697496,<1e-16,<1e-16
PWY-7663: gondoate biosynthesis (anaerobic),0.408956114348851,8.1294000245137,10.8847525803442,7.73129345524807e-25,4.73325811563687e-23,45.6317902673858,<1e-16,<1e-16
PWY-5695: inosine 5'-phosphate degradation,0.204111062371185,8.757120734105,10.8759858427984,8.35280843935918e-25,4.73325811563687e-23,45.2441993843751,<1e-16,<1e-16
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,0.237384863693784,8.8428896297846,10.3152678587836,1.08527247266032e-22,5.53488961056765e-21,40.3531689408541,<1e-16,<1e-16
PWY0-1319: CDP-diacylglycerol biosynthesis II,0.266764071075619,8.65941746345364,10.0712266981301,8.58604756603558e-22,3.65981055095459e-20,38.4535380914716,<1e-16,<1e-16
PWY-5667: CDP-diacylglycerol biosynthesis I,0.266748990030531,8.65939324626756,10.070877276726,8.61131894342258e-22,3.65981055095459e-20,38.4506725863017,<1e-16,<1e-16
ARO-PWY: chorismate biosynthesis I,0.225121445608508,8.91252550102126,9.38004161974227,2.523615845427e-19,9.90033908590591e-18,32.624852678046,<1e-16,<1e-16
PWY-6737: starch degradation V,0.26549785129896,9.28449842394437,9.36410770067586,2.86782009977929e-19,1.04470589349103e-17,32.2024896261971,<1e-16,<1e-16
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants),0.308816290580131,8.28603640822059,9.03601539763736,3.86057820764702e-18,1.31259659059999e-16,30.4469470180772,1.31e-16,<1e-16
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,0.223700140324551,9.18874329096704,8.68589814076906,5.76434082117102e-17,1.83738363674826e-15,27.0316350344706,1.84e-15,<1e-16
PWY-7199: pyrimidine deoxyribonucleosides salvage,0.220563186174609,8.38032912450647,8.28246019391466,1.18225778459966e-15,3.54677335379899e-14,24.7506449497789,3.55e-14,1.18e-15
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate),0.177145868285864,8.30931050859666,8.20176730573673,2.13654572597163e-15,6.05354622358628e-14,24.2178498270474,6.05e-14,2.14e-15
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),0.1647831241591,8.99952864666663,7.61637215517026,1.37490148756456e-13,3.69052504556802e-12,19.5122518740903,3.69e-12,1.37e-13
PWY-6897: thiamine diphosphate salvage II,0.246943993528671,7.97575939709888,7.3533490719881,8.27895585550866e-13,2.11113374315471e-11,18.5688611025743,2.11e-11,8.28e-13
PWY-5103: L-isoleucine biosynthesis III,-0.168185839832642,9.00319253447116,-6.69277234882939,6.05692443966598e-11,1.47096736391888e-09,13.5316596946437,1.47e-09,6.06e-11
ANAEROFRUCAT-PWY: homolactic fermentation,-0.177075255449308,8.24592974231501,-6.62915569094737,9.00546734922523e-11,2.0876310673204e-09,13.8364342463891,2.09e-09,9.01e-11
PWY-4242,0.15517395619519,8.59989669608477,6.36699094716218,4.47216542623812e-10,9.91654072774539e-09,11.9582741869503,9.92e-09,4.47e-10
COA-PWY: coenzyme A biosynthesis I (prokaryotic),0.147165575465231,8.57873253323778,6.28683179770059,7.22496563563885e-10,1.53530519757325e-08,11.5115357820288,1.54e-08,7.22e-10
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,-0.146933991832286,9.07275885678593,-6.12851474707132,1.83659856702602e-09,3.74666107673308e-08,10.1333491997432,3.75e-08,1.84e-09
PWY-6609: adenine and adenosine salvage III,0.127907125265384,9.03296132910043,5.55298662258057,4.63098786586147e-08,9.08386081380519e-07,7.02257849923005,9.08e-07,4.63e-08
PWY-7111: pyruvate fermentation to isobutanol (engineered),-0.147507455525461,9.32366503672725,-5.40846371789303,9.99437934740626e-08,1.88782721006563e-06,6.10557062680356,1.89e-06,9.99e-08
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),-0.14430748306865,9.32027574121471,-5.38327115247179,1.14089394988407e-07,2.00639970496854e-06,5.97761716457999,2.01e-06,1.14e-07
VALSYN-PWY: L-valine biosynthesis,-0.14430748306865,9.32027574121471,-5.38327115247179,1.14089394988407e-07,2.00639970496854e-06,5.97761716457999,2.01e-06,1.14e-07
